Facility Name,Area / Location,Sports Offered,Indoor / Outdoor,Swimming Pool,Gym,Exact Opening Hours,Typical Hourly Rate (PKR)
Peak Table Tennis,Mehmoodabad,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,500 - 2000 
Smart Football,North Karachi 11,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000 
Mega Tennis Court,PECHS Block 3,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000 
City Table Tennis,Liaquatabad,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,3000 - 15000 
Royal Padel Court,Clifton Block 2,Padel Court,Outdoor,No,No,24 Hours,4000 - 8000
Xtreme Basketball,DHA Phase 5,Basketball,Outdoor,No,No,24 Hours,3000 - 6000 
Ace Basketball Court,Defence View,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,3000 - 6000 
Swift Basketball,Gulshan Block 10,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 4000 
Ultimate Table Tennis,Clifton Block 2,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,3000 - 15000
Ace Football Ground,Saddar,Football,Outdoor,No,No,7:00 AM – 11:00 PM,3000 - 6000 
Royal Cricket Academy,PECHS Block 2,Cricket,Outdoor,No,No,24 Hours,500 - 2000 
Mega Badminton Club,FB Area Block 6,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 2000
Xtreme Cricket,Sindhi Muslim,Cricket,Outdoor,No,No,24 Hours,3000 - 15000 
Mega Table Tennis,PNS Karsaz,Table Tennis,Indoor,No,No,24 Hours,500 - 2000 
Swift Football,Garden East,Football,Outdoor,No,No,24 Hours,3000 - 6000
Mega Gym,North Nazimabad L,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,500 - 2000
Smash X KDA,KDA Scheme 1,"Padel, Pickleball",Outdoor,No,No,7:00 AM – 4:00 AM,"4,500 - 7,500"
Padelverse,Clifton Block 13,Padel,Indoor,No,No,24 Hours,"5,000 - 8,000"
Matchbox Padel,Malir Cantt,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,"6,000 - 8,000"
Viva Padel,DHA Phase 8,Padel,Outdoor,No,No,7:00 AM – 2:00 AM,"7,000"
Ignite Sports Pavilion,Gulshan-e-Iqbal,"Futsal, Padel",Outdoor,No,No,6:00 AM – 8:00 PM,"6,500"
DA Sunset Club,DHA Phase 2,"Swimming, Tennis, Gym",Mixed,Yes,Yes,7:00 AM – 10:00 PM,600
Velocity X,DHA Phase 6,"Gym, MMA, Fitness",Indoor,No,Yes,6:00 AM – 12:00 AM,"16,000"
Aga Khan Sports Centre,Stadium Road,"Swimming, Football, Basketball",Mixed,Yes,Yes,7:00 AM – 11:00 PM,Membership Based
Urban Turf,DHA Phase 8,"Futsal, Cricket",Outdoor,No,No,24 Hours,"3,000 - 5,000"
Futsalrange DHA,DHA Phase 6,"Futsal, Cricket",Indoor,No,No,24 Hours,"4,000 - 6,000"
Shapes Health Club,Old Clifton,"Gym, Swimming, Squash",Mixed,Yes,Yes,6:00 AM – 10:00 PM,"12,000"
Aram Bagh Court,Saddar,Basketball,Outdoor,No,No,4:00 PM – 10:00 PM,0
Premier Club,KDA Scheme 1,"Padel, Swimming, Gym",Outdoor,Yes,Yes,7:00 AM – 2:00 AM,"4,500 - 7,500"
DA Zamzama Club,DHA Phase 5,"Football, Gym, Squash",Mixed,Yes,Yes,4:00 PM – 10:00 PM,300 - 600
Jahangir Khan Club,Kashmir Road,"Padel, Swimming, Gym",Mixed,Yes,Yes,6:00 AM – 9:00 PM,"4,000 - 7,000"
Cyclone Fitness,PECHS,"Gym, Fitness",Indoor,No,Yes,24 Hours,"8,000 - 15,000"
Elite Futsal Arena,Clifton Block 4,Futsal Arena,Outdoor,No,No,7:00 AM – 11:00 PM,"3,500 - 6,000"
Global Swim Center,DHA Phase 8,Swimming Pool,Indoor,Yes,No,4:00 PM – 1:00 AM,"500 - 2,000 "
Ace Football Turf,Tariq Road,Football Turf,Outdoor,No,No,4:00 PM – 1:00 AM,"4,000 - 7,000 "
Active Padel Court,PECHS Block 6,Padel Court,Outdoor,No,No,24 Hours,"4,000 - 8,000 "
Prime Padel Court,DHA Phase 8,Padel Court,Outdoor,No,No,6:00 AM – 10:00 PM,"4,000 - 8,000 "
Royal Swim Center,FB Area Block 6,Swimming Pool,Outdoor,Yes,No,24 Hours,"500 - 2,000 "
Global TT Zone,North Nazimabad F,Table Tennis,Indoor,No,No,24 Hours,300 - 800 
Fit Basketball Court,PECHS Block 2,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,"1,000 - 3,000"
Active Football Turf,Mehmoodabad,Football Turf,Outdoor,No,No,7:00 AM – 11:00 PM,"4,000 - 7,000 "
Active Tennis Club,Gulshan Block 13,Tennis Club,Outdoor,No,No,4:00 PM – 1:00 AM,"1,500 - 4,000"
Grand Padel Court,Clifton Block 2,Padel Court,Outdoor,No,No,24 Hours,"4,000 - 8,000"
Ace Badminton Court,Gulshan Block 10,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,"500 - 1,500 "
Swift Cricket Academy,North Nazimabad M,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,"2,000 - 5,000"
Ultimate Swim Center,Gulshan Block 15,Swimming Pool,Indoor,Yes,No,24 Hours,"500 - 2,000 "
Fit Cricket Academy,Bahadurabad,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,"2,000 - 5,000 "
Prime TT Zone,Malir Cantt,Table Tennis,Indoor,No,No,24 Hours,300 - 800 
Royal Padel Court,Garden East,Padel Court,Outdoor,No,No,4:00 PM – 1:00 AM,"4,000 - 8,000"
Peak Swim Center,Clifton Block 4,Swimming Pool,Outdoor,Yes,No,7:00 AM – 11:00 PM,"500 - 2,000 "
Smart Swim Center,Tariq Road,Swimming Pool,Indoor,Yes,No,6:00 AM – 10:00 PM,"500 - 2,000 "
Active Gym,Surjani Town,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,"3,000 - 15,000 "
Ultimate Gym,Gulistan-e-Johar,Gym,Indoor,No,Yes,24 Hours,"3,000 - 15,000"
Mega Futsal Arena,Baldia Town,Futsal Arena,Outdoor,No,No,6:00 AM – 10:00 PM,"3,500 - 6,000"
Grand Basketball,North Nazimabad,Basketball,Outdoor,No,No,24 Hours,"1,000 - 3,000"
Fit Badminton Complex,Gulistan-e-Johar 15,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Grand Futsal Arena,Gulistan-e-Johar 12,Futsal,Outdoor,No,No,8:00 AM – 10:00 PM,3500 - 6000 
Smart Swimming Hub,North Nazimabad M,Swimming Pool,Indoor/Outdoor,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Swift Gym Point,Bahadurabad,Gym,Indoor,No,Yes,8:00 AM – 10:00 PM,3000 - 15000
Elite Basketball Arena,Steel Town,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000
Active Football Arena,Gulistan-e-Johar 1,Football,Outdoor,No,No,8:00 AM – 10:00 PM,4000 - 7000 
Smart Tennis Zone,DHA Phase 5,Tennis,Outdoor,No,No,8:00 AM – 10:00 PM,1500 - 4000 
Xtreme Futsal Hub,Gulistan-e-Johar 15,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000
Fit Gym Center,Defence View,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Fit Futsal Complex,Korangi Industrial,Futsal,Outdoor,No,No,8:00 AM – 10:00 PM,3500 - 6000 
Prime TT Zone,Bahadurabad,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 
Active Football Courts,PNS Karsaz,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000 
Fit Cricket Academy,PECHS Block 2,Cricket,Outdoor,No,No,24 Hours,2000 - 5000 
Dynamic Futsal Club,Saddar,Futsal,Outdoor,No,No,24 Hours,3500 - 6000 
Fit Football Courts,Model Colony,Football,Outdoor,No,No,8:00 AM – 10:00 PM,4000 - 7000
Dynamic Gym Station,North Nazimabad H,Gym,Indoor,No,Yes,8:00 AM – 10:00 PM,3000 - 15000 
Peak Gym Point,DHA Phase 7,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Royal Futsal Club,Tariq Road,Futsal,Outdoor,No,No,8:00 AM – 10:00 PM,3500 - 6000
City Table Tennis Hub,Liaquatabad,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 
Prime Tennis Pavilion,DHA Phase 7,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000 
Fit Badminton Station,PECHS Block 2,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500
Ace Badminton Point,North Nazimabad B,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500 
Smart Futsal Center,Naval Colony,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Ultimate Gym Spot,Garden East,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Dynamic Football Center,Garden East,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000
Ultimate Futsal Hub,Model Colony,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000
Royal Football Spot,Gulshan Block 7,Football,Outdoor,No,No,8:00 AM – 10:00 PM,4000 - 7000
Ultimate Badminton,DHA Phase 2,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Ace Football Club,Garden West,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000 
Pro Swimming Club,DHA Phase 7,Swimming,Indoor/Outdoor,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Ace Gym Center,Defence View,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Ace Football Courts,Gulistan-e-Johar 12,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000 
City Tennis Courts,Clifton Block 4,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000 
Elite Futsal Spot,Tariq Road,Futsal,Outdoor,No,No,8:00 AM – 10:00 PM,3500 - 6000 
Dynamic Futsal Courts,Landhi,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Smart Tennis Station,Gulistan-e-Johar 12,Tennis,Outdoor,No,No,8:00 AM – 10:00 PM,1500 - 4000 
Elite Tennis Station,Defence View,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Active Football,Gulshan Block 13,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000 
Mega Cricket Academy,FB Area Block 15,Cricket,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000 
Smart Padel Spot,Korangi Industrial,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000 
Swift Padel Courts,North Nazimabad H,Padel,Outdoor,No,No,8:00 AM – 10:00 PM,4000 - 8000 
Royal Basketball,Baldia Town,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,1000 - 3000
Grand Cricket Hub,Naval Colony,Cricket,Outdoor,No,No,7:00 AM – 11:00 PM,2000 - 5000 
Peak Badminton Club,Gulistan-e-Johar 1,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500 
Active Badminton,FB Area Block 6,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Ultimate Gym Arena,Landhi,Gym,Indoor,No,Yes,8:00 AM – 10:00 PM,3000 - 15000 
Pro TT Spot,PECHS Block 3,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800 
Smart TT Courts,Orangi Town,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300 - 800 
Swift Football Courts,Gulshan Block 10,Football,Outdoor,No,No,24 Hours,4000 - 7000 
City Gym Hub,Clifton Block 1,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000 
Pro Futsal Arena,Baldia Town,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Elite Table Tennis,Gulistan-e-Johar 12,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Elite Futsal Center,Garden West,Futsal,Outdoor,No,No,24 Hours,3500 - 6000
Smart Futsal Center,PECHS Block 3,Futsal,Outdoor,No,No,8:00 AM – 10:00 PM,3500 - 6000 
Active Cricket Academy,Tariq Road,Cricket,Outdoor,No,No,24 Hours,2000 - 5000
Mega Football Complex,Gulshan Block 10,Football,Outdoor,No,No,8:00 AM – 10:00 PM,4000 - 7000
Ultimate Futsal Courts,Sindhi Muslim,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Active Futsal Pavilion,Garden East,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Prime Badminton Arena,DHA Phase 8,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500
Prime TT Courts,Model Colony,Table Tennis,Indoor,No,No,8:00 AM – 10:00 PM,300 - 800 
Fit Padel Arena,Defence View,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Ace Tennis Club,North Nazimabad L,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000 
Peak TT Point,DHA Phase 1,Table Tennis,Indoor,No,No,8:00 AM – 10:00 PM,300 - 800 
Ace Football Arena,Tariq Road,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000 
Swift Futsal Courts,Naval Colony,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Ace Basketball Complex,Clifton Block 4,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000 
Xtreme Swimming Hub,Tariq Road,Swimming,Indoor/Outdoor,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Pro Swimming Spot,North Nazimabad B,Swimming,Indoor/Outdoor,Yes,No,4:00 PM – 1:00 AM,500 - 2000
Royal Padel Complex,DHA Phase 2,Padel,Outdoor,No,No,24 Hours,4000 - 8000 
Fit Badminton Arena,Korangi Industrial,Badminton,Indoor,No,No,24 Hours,500 - 1500 
Ace Basketball Center,Clifton Block 2,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000
Mega Football Pavilion,Sindhi Muslim,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000 
Royal Gym Zone,Naval Colony,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Grand TT Station,North Nazimabad L,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 
Grand Swimming Complex,Surjani Town,Swimming,Indoor/Outdoor,Yes,No,8:00 AM – 10:00 PM,500 - 2000 
Active Tennis Zone,Orangi Town,Tennis,Outdoor,No,No,8:00 AM – 10:00 PM,1500 - 4000
Swift Gym Complex,Gulshan Block 1,Gym,Indoor,No,Yes,24 Hours,3000 - 15000 
Grand Futsal Hub,Sindhi Muslim,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000 
Ace Swimming Club,North Karachi 11,Swimming,Indoor/Outdoor,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Pro Futsal Pavilion,Gulshan Block 1,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000
Grand Swimming Pool,Gulshan Block 7,Swimming Pool,Indoor/Outdoor,Yes,No,6:00 AM – 10:00 PM,3000 - 15000 
Ultimate Swimming,North Karachi 11,Swimming Pool,Indoor/Outdoor,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Mega Futsal Arena,DHA Phase 6,Futsal,Outdoor,No,No,24 Hours,4000 - 8000
Dynamic Basketball,DHA Phase 6,Basketball,Outdoor,No,No,24 Hours,3000 - 6000
Swift Cricket,DHA Phase 4,Cricket,Outdoor,No,No,7:00 AM – 11:00 PM,3000 - 15000 
Smart Badminton Club,North Nazimabad L,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 2000 
Swift Badminton Club,Gulshan Block 10,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 2000 
City Cricket Academy,PECHS Block 2,Cricket,Outdoor,No,No,6:00 AM – 10:00 PM,3000 - 15000
Dynamic Gym,North Nazimabad B,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Grand Gym,Clifton Block 5,Gym,Indoor,No,Yes,24 Hours,500 - 2000 
Dynamic Tennis Court,Gulshan Block 15,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,3000 - 6000 
Active Padel Court,Bahadurabad,Padel Court,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 4000 
Smart Table Tennis,Gulshan Block 7,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,3000 - 15000 
Dynamic Tennis Court,DHA Phase 1,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000 
Mega Badminton Club,PECHS Block 2,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,3000 - 15000 
Ultimate Padel Court,Mehmoodabad,Padel Court,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000 
Swift Padel Court,North Nazimabad B,Padel Court,Outdoor,No,No,4:00 PM – 1:00 AM,3000 - 6000
Mega Badminton Club,PECHS Block 6,Badminton,Indoor,No,No,4:00 PM – 1:00 AM,500 - 2000 
Swift Tennis Court,Clifton Block 4,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,3000 - 6000 
Ace Table Tennis,Gulshan Block 15,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,3000 - 15000 
Smart Futsal Arena,Gulistan-e-Johar 15,Futsal,Outdoor,No,No,24 Hours,3000 - 6000
Dynamic Cricket,Sindhi Muslim,Cricket,Outdoor,No,No,6:00 AM – 10:00 PM,3000 - 15000 
Ace Tennis Court,Garden West,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000 
Mega Cricket Academy,Gulshan Block 7,Cricket,Outdoor,No,No,6:00 AM – 10:00 PM,3000 - 15000
Elite Tennis Court,Clifton Block 3,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 4000 
Elite Football,DHA Phase 8,Football,Outdoor,No,No,24 Hours,4000 - 8000
Pro Table Tennis,Gulshan Block 13,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,500 - 2000 
Peak Basketball,North Nazimabad M,Basketball,Outdoor,No,No,7:00 AM – 11:00 PM,3000 - 6000 
Dynamic Table Tennis,Clifton Block 4,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,3000 - 15000 
Dynamic Padel Court,Steel Town,Padel Court,Outdoor,No,No,6:00 AM – 10:00 PM,3000 - 6000 
Active Table Tennis Center,DHA Phase 7,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300 - 800 
Elite Basketball Dome,Gulshan Block 13,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,1000 - 3000 
Super Swimming Pool,DHA Phase 8,Swimming Pool,Indoor/Outdoor,Yes,No,7:00 AM – 11:00 PM,500 - 2000 
Orbit Football Station,FB Area Block 6,Football,Outdoor,No,No,8:00 AM – 11:00 PM,4000 - 7000 
Elite Football Center,Garden West,Football,Outdoor,No,No,8:00 AM – 11:00 PM,4000 - 7000 
Orbit Gym Pavilion,Mehmoodabad,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Elite Football Courts,Gulshan Block 10,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000
Super Table Tennis,North Nazimabad B,Table Tennis,Indoor,No,No,8:00 AM – 11:00 PM,300 - 800 
Master Table Tennis,Gulistan-e-Johar 15,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Omega Tennis Station,Gulshan Block 13,Tennis,Outdoor,No,No,24 Hours,1500 - 4000 
Grand Swimming Pool,Naval Colony,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000
Lunar Gym Pavilion,Orangi Town,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Vector Swimming Pool,Steel Town,Swimming Pool,Mixed,Yes,No,8:00 AM – 11:00 PM,500 - 2000 
Omega Table Tennis,Landhi,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Fusion Futsal Pavilion,Liaquatabad,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Pulse Cricket Academy,DHA Phase 7,Cricket,Outdoor,No,No,24 Hours,2000 - 5000 
Solar Futsal Dome,Clifton Block 2,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000 
Pro Tennis Hub,Clifton Block 2,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000 
Orbit Badminton Dome,FB Area Block 6,Badminton,Indoor,No,No,8:00 AM – 11:00 PM,500 - 1500
Master Basketball,Clifton Block 2,Basketball,Outdoor,No,No,24 Hours,1000 - 3000
Quantum Swimming Pool,Surjani Town,Swimming Pool,Mixed,Yes,No,7:00 AM – 11:00 PM,500 - 2000
Active Football Center,Gulshan Block 7,Football,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 7000 
Orbit Swimming Pool,North Nazimabad F,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Quantum Basketball,Clifton Block 5,Basketball,Outdoor,No,No,6:00 AM – 10:00 PM,1000 - 3000 
Alpha Futsal Zone,Gulistan-e-Johar 1,Futsal,Outdoor,No,No,8:00 AM – 11:00 PM,3500 - 6000 
Elite Badminton Courts,Garden West,Badminton,Indoor,No,No,24 Hours,500 - 1500 
Master Football Arena,DHA Phase 7,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000
Omega Table Tennis,Saddar,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300 - 800 
Quantum Badminton,North Nazimabad H,Badminton,Indoor,No,No,24 Hours,500 - 1500 
Alpha Padel Complex,North Karachi 11,Padel,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 8000 
Core Cricket Academy,PECHS Block 3,Cricket,Outdoor,No,No,24 Hours,2000 - 5000
Core Futsal Hub,Gulshan Block 13,Futsal,Outdoor,No,No,7:00 AM – 11:00 PM,3500 - 6000 
Grand Swimming Pool,Clifton Block 4,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000 
Pro Basketball Courts,Clifton Block 9,Basketball,Outdoor,No,No,8:00 AM – 11:00 PM,1000 - 3000
Elite Swimming Pool,Liaquatabad,Swimming Pool,Mixed,Yes,No,4:00 PM – 1:00 AM,500 - 2000 
Orbit Padel Hub,Gulistan-e-Johar 15,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Mighty Badminton Point,Gulistan-e-Johar 1,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500 
Solar Basketball,Clifton Block 5,Basketball,Outdoor,No,No,8:00 AM – 11:00 PM,1000 - 3000 
Super Gym Station,Gulshan Block 13,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Lunar Tennis Center,PECHS Block 3,Tennis,Outdoor,No,No,8:00 AM – 11:00 PM,1500 - 4000 
Grand Padel Pavilion,Surjani Town,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000 
Vector Basketball,Orangi Town,Basketball,Outdoor,No,No,4:00 PM – 1:00 AM,1000 - 3000 
Solar Badminton Courts,Garden West,Badminton,Indoor,No,No,6:00 AM – 10:00 PM,500 - 1500
Lunar Futsal Hub,DHA Phase 2,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000 
Fusion Futsal Hub,FB Area Block 15,Futsal,Outdoor,No,No,6:00 AM – 10:00 PM,3500 - 6000
Core Swimming Pool,Mehmoodabad,Swimming Pool,Mixed,Yes,No,24 Hours,500 - 2000 
Alpha Table Tennis,Orangi Town,Table Tennis,Indoor,No,No,24 Hours,300 - 800 
Fusion Basketball,Gulshan Block 7,Basketball,Outdoor,No,No,8:00 AM – 11:00 PM,1000 - 3000
Pro Gym Point,DHA Phase 2,Gym,Indoor,No,Yes,8:00 AM – 11:00 PM,3000 - 15000
Mighty Futsal Pavilion,DHA Phase 7,Futsal,Outdoor,No,No,24 Hours,3500 - 6000 
Pulse Football Zone,Defence View,Football,Outdoor,No,No,4:00 PM – 1:00 AM,4000 - 7000 
Vector Futsal Zone,Sindhi Muslim,Futsal,Outdoor,No,No,4:00 PM – 1:00 AM,3500 - 6000
Orbit Tennis Pavilion,Malir Cantt,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000
Mighty Padel Pavilion,DHA Phase 5,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000 
Elite Tennis Point,North Nazimabad B,Tennis,Outdoor,No,No,4:00 PM – 1:00 AM,1500 - 4000 
Omega Table Tennis,DHA Phase 4,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800 
Lunar Gym Center,Model Colony,Gym,Indoor,No,Yes,6:00 AM – 10:00 PM,3000 - 15000
Alpha Football Dome,DHA Phase 8,Football,Outdoor,No,No,24 Hours,4000 - 7000
Omega Padel Arena,DHA Phase 6,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Mighty Basketball,Garden East,Basketball,Outdoor,No,No,8:00 AM – 11:00 PM,1000 - 3000
Omega Cricket Academy,Sindhi Muslim,Cricket Academy,Outdoor,No,No,4:00 PM – 1:00 AM,2000 - 5000
Alpha Swimming Pool,Gulshan Block 15,Swimming Pool,Indoor/Outdoor,Yes,No,24 Hours,500 - 2000 
Mighty Cricket Hub,Gulshan Block 1,Cricket Academy,Outdoor,No,No,6:00 AM – 10:00 PM,2000 - 5000
Core Padel Pavilion,DHA Phase 6,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000
Hyper TT Pavilion,Clifton Block 4,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800 (Hr)
Vector Padel Complex,Baldia Town,Padel,Outdoor,No,No,24 Hours,4000 - 8000
Gamma Padel Arena,DHA Phase 1,Padel,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 8000
Omega Badminton Hub,Johar Block 15,Badminton,Indoor,No,No,7:00 AM – 11:00 PM,500 - 1500
Alpha Gym Arena,Mehmoodabad,Gym,Indoor,No,Yes,7:00 AM – 11:00 PM,3000 - 15000
Quantum TT Hub,Gulshan Block 15,Table Tennis,Indoor,No,No,24 Hours,300 - 800
Ultra Swimming Courts,DHA Phase 1,Swimming Pool,Mixed,Yes,No,6:00 AM – 10:00 PM,500 - 2000 
Sonic Tennis Point,DHA Phase 7,Tennis,Outdoor,No,No,6:00 AM – 10:00 PM,1500 - 4000
Orbit Gym Station,DHA Phase 4,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Delta TT Club,Johar Block 1,Table Tennis,Indoor,No,No,6:00 AM – 10:00 PM,300 - 800
Quantum Football,DHA Phase 1,Football,Outdoor,No,No,6:00 AM – 10:00 PM,4000 - 7000
Sigma Tennis Zone,Clifton Block 2,Tennis,Outdoor,No,No,7:00 AM – 11:00 PM,1500 - 4000
Hyper TT Zone,Johar Block 15,Table Tennis,Indoor,No,No,4:00 PM – 1:00 AM,300 - 800
Core TT Complex,DHA Phase 4,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800
Mighty Padel Station,Johar Block 4,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
Alpha Gym Zone,Surjani Town,Gym,Indoor,No,Yes,4:00 PM – 1:00 AM,3000 - 15000
Ultra TT Point,Gulshan Block 7,Table Tennis,Indoor,No,No,7:00 AM – 11:00 PM,300 - 800
Hyper Gym Pavilion,PECHS Block 2,Gym,Indoor,No,Yes,24 Hours,3000 - 15000
Sonic Padel Center,DHA Phase 7,Padel,Outdoor,No,No,7:00 AM – 11:00 PM,4000 - 8000
